# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 16 03:46:30 2021
#
# User preference: *
#
# COLUMN toi:            TESS Object of Interest
# COLUMN tid:            TESS Input Catalog ID
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN pl_tranmid:     Planet Transit Midpoint Value [BJD]
# COLUMN pl_tranmiderr1: Planet Transit Midpoint Upper Unc [BJD]
# COLUMN pl_tranmiderr2: Planit Transit Midpoint Lower Unc [BJD]
# COLUMN pl_tranmidlim:  Planet Transit Midpoint Limit Flag
# COLUMN pl_orbper:      Planet Orbital Period Value [days]
# COLUMN pl_orbpererr1:  Planet Orbital Period Upper Unc [days]
# COLUMN pl_orbpererr2:  Planet Orbital Period Lower Unc [days]
# COLUMN pl_orbperlim:   Planet Orbital Period Limit Flag
# COLUMN pl_trandurh:    Planet Transit Duration Value [hours]
# COLUMN pl_trandurherr1: Planet Transit Duration Upper Unc [hours]
# COLUMN pl_trandurherr2: Planet Transit Duration Lower Unc [hours]
# COLUMN pl_trandurhlim: Planet Transit Duration Limit Flag
#
toi,tid,tfopwg_disp,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim
1089.01,129319156,FP,2458643.1026400,0.004880,-0.004880,0,4.7370300,0.0045300,-0.0045300,0,3.9020000,0.4810000,-0.4810000,0
109.01,29344935,KP,2458326.1275290,0.001296,-0.001296,0,2.7667639,0.0002702,-0.0002702,0,2.6433978,0.1163057,-0.1163057,0
1090.01,361034196,FP,2458628.9631600,0.002200,-0.002200,0,2.1929600,0.0003000,-0.0003000,0,4.5860000,0.0790000,-0.0790000,0
1091.01,193413306,PC,2459359.5552100,0.003007,-0.003007,0,1.7258410,0.0000165,-0.0000165,0,3.6740000,0.3220000,-0.3220000,0
1092.01,387079085,FP,2458601.3809600,0.000610,-0.000610,0,1.1923000,0.0000300,-0.0000300,0,3.1190000,0.0240000,-0.0240000,0
1093.01,382331352,FP,2458601.3379100,0.004650,-0.004650,0,11.4760600,0.0016200,-0.0016200,0,6.0830000,0.4400000,-0.4400000,0
1094.01,136274063,APC,2458640.6144300,0.002650,-0.002650,0,0.5970600,0.0002300,-0.0002300,0,0.6810000,0.2680000,-0.2680000,0
1095.01,375223080,PC,2459362.2260110,0.001128,-0.001128,0,1.4823278,0.0001365,-0.0001365,0,2.1602102,0.0756635,-0.0756635,0
1096.01,375225453,FP,2459307.9357700,0.002752,-0.002752,0,0.9209526,0.0001855,-0.0001855,0,1.8602735,0.4647613,-0.4647613,0
1097.01,360630575,PC,2459376.4106370,0.002167,-0.002167,0,9.1885056,0.0000362,-0.0000362,0,2.4820000,0.2800000,-0.2800000,0
1098.01,383390264,CP,2458629.9079410,0.002149,-0.002149,0,10.1829419,0.0006406,-0.0006406,0,2.8539875,0.3865348,-0.3865348,0
1099.01,290348383,PC,2458658.7903900,0.000533,-0.000533,0,6.4409822,0.0000148,-0.0000148,0,1.8342508,0.1076056,-0.1076056,0
110.01,281459670,KP,2458328.0404640,0.000446,-0.000446,0,3.1741657,0.0001796,-0.0001796,0,2.6788680,0.0623730,-0.0623730,0
1100.01,318608749,PC,2458341.9166700,0.005630,-0.005630,0,20.0730800,0.0005300,-0.0005300,0,4.0550000,0.4170000,-0.4170000,0
1101.01,271581073,FP,2459037.4417640,0.000969,-0.000969,0,2.6690078,0.0002068,-0.0002068,0,1.7690728,0.0708474,-0.0708474,0
1102.01,311890977,FP,2458627.8042300,0.002760,-0.002760,0,6.6337100,0.0005900,-0.0005900,0,2.1220000,0.2600000,-0.2600000,0
1103.01,351603103,PC,2459037.6555260,0.002636,-0.002636,0,2.9419297,0.0006372,-0.0006372,0,4.8645053,0.1457895,-0.1457895,0
1104.01,451599528,PC,2459367.0343270,0.003108,-0.003108,0,341.2811281,0.0045871,-0.0045871,0,6.3030260,0.2728898,-0.2728898,0
1105.01,274151135,PC,2459369.6949090,0.002534,-0.002534,0,10.8681705,0.0000581,-0.0000581,0,2.3300000,0.1990000,-0.1990000,0
1106.01,384513078,PC,2458630.7193700,0.008280,-0.008280,0,11.1149000,0.0029500,-0.0029500,0,2.2600000,0.4500000,-0.4500000,0
1107.01,394561119,PC,2459364.6212710,0.000480,-0.000480,0,4.0782100,0.0001353,-0.0001353,0,4.8460567,0.0398619,-0.0398619,0
1108.01,295599256,FP,2458655.5487200,0.000980,-0.000980,0,7.1438600,0.0005400,-0.0005400,0,1.4670000,0.2230000,-0.2230000,0
1109.01,50309953,FP,2459083.3516800,0.001760,-0.001760,0,7.0408300,0.0000300,-0.0000300,0,2.9790000,0.2350000,-0.2350000,0
111.01,355703913,KP,2458326.1063690,0.001084,-0.001084,0,2.1060980,0.0000690,-0.0000690,0,1.5747660,0.0839670,-0.0839670,0
1110.01,446549905,FP,2458654.6088900,0.000900,-0.000900,0,2.4546600,0.0001400,-0.0001400,0,2.3310000,0.2430000,-0.2430000,0
1111.01,412014494,FP,2458663.0019100,0.003260,-0.003260,0,11.4659700,0.0031500,-0.0031500,0,1.6980000,0.6870000,-0.6870000,0
1112.01,369864738,FP,2458626.5416800,0.005850,-0.005850,0,2.7818600,0.0005000,-0.0005000,0,2.4560000,0.4280000,-0.4280000,0
1113.01,290348382,FP,2458658.7871500,0.002380,-0.002380,0,6.4404900,0.0011500,-0.0011500,0,1.8540000,0.1230000,-0.1230000,0
1114.01,409934330,APC,2459038.6225860,0.000684,-0.000684,0,2.4888847,0.0001421,-0.0001421,0,3.1066002,0.0501483,-0.0501483,0
